TIME(2022/02/09 15:49:20.545),TIMETICK(f=10000000),FPOGX,FPOGY
4.03809,724239335943,0.34475,0.38211
4.04456,724239400566,0.3461,0.38029
4.0509,724239463966,0.34725,0.37872
4.05762,724239531256,0.34855,0.37857
4.06439,724239598882,0.3498,0.37692
4.07111,724239666015,0.3509,0.37546
4.07782,724239733175,0.35109,0.37582
4.08429,724239797799,0.3507,0.37627
4.09113,724239866012,0.35035,0.37668
4.09772,724239932423,0.35038,0.37634
4.10455,724240000590,0.35045,0.37697
4.11121,724240067281,0.35052,0.37755
4.11792,724240134253,0.35013,0.3776
4.12445,724240199732,0.34974,0.37729
4.13135,724240268725,0.34937,0.37699
4.13794,724240334676,0.34971,0.37709
4.14551,724240410436,0.35011,0.37685
4.1521,724240475999,0.35048,0.37663
4.15918,724240546587,0.35068,0.37699
4.16486,724240603896,0.35031,0.37676
4.17133,724240668230,0.34995,0.37655
4.17822,724240737322,0.34952,0.37634
4.18494,724240804358,0.34977,0.37618
4.19147,724240870027,0.35001,0.37602
4.1983,724240938240,0.35012,0.37614
4.20508,724241006091,0.34989,0.37628
4.21179,724241073025,0.34967,0.37642
4.21838,724241138949,0.34913,0.37678
4.22516,724241206903,0.34879,0.37705
4.23193,724241274196,0.34846,0.3773
4.23859,724241340696,0.34797,0.37781
4.24652,724241420079,0.34735,0.37722
4.25195,724241474415,0.35638,0.33847
4.26068,724241561789,0.38686,0.35777
4.26611,724241615933,0.4004,0.36281
4.27258,724241681091,0.40717,0.36533
4.27875,724241742814,0.41972,0.3605
4.28595,724241814634,0.49929,0.11659
4.29218,724241876709,0.62676,-0.38223
4.29889,724241943804,0.56802,-0.15339
4.30554,724242010214,0.55352,-0.08555
4.31207,724242075837,0.50467,0.11728
4.31891,724242144368,0.47375,-0.06778
4.32556,724242210957,0.43386,-0.0589
4.33209,724242276277,0.43386,-0.0589
4.34015,724242356789,0.43386,-0.0589
4.3468,724242423226,0.0,0.0
4.3526,724242481283,0.0,0.0
4.35919,724242546996,0.0,0.0
4.36584,724242613313,0.0,0.0
4.37299,724242684626,0.0,0.0
4.37915,724242746729,0.24809,-0.37779
4.38593,724242814368,0.49619,-0.75559
4.39246,724242879523,0.49619,-0.75559
4.39923,724242947637,0.49619,-0.75559
4.40607,724243015485,0.0,0.0
4.41272,724243082313,0.0,0.0
4.41931,724243148235,0.23351,-0.34466
4.4259,724243214270,0.46703,-0.68932
4.43256,724243280820,0.46703,-0.68932
4.43958,724243351101,0.57717,-0.6916
4.44623,724243417513,0.58992,-0.71177
4.45361,724243490985,0.54122,-0.72071
4.46033,724243558197,0.54122,-0.72071
